variant,input,n,rep,time_ns
alloc,A,100000000,6,4316156122
alloc,A,100000000,7,4316592000
alloc,A,100000000,8,4315947106
alloc,A,100000000,9,4316513560
shared,A,100000000,0,2859752010
shared,A,100000000,1,2858321140
shared,A,100000000,2,2854194108
shared,A,100000000,3,2858771716
shared,A,100000000,4,2854150962
shared,A,100000000,5,2855088388
shared,A,100000000,6,2860186000
shared,A,100000000,7,2855765196
shared,A,100000000,8,2854154322
shared,A,100000000,9,2858510172
stdsort,A,100000000,0,1398430628
stdsort,A,100000000,1,1397429174
stdsort,A,100000000,2,1397803050
stdsort,A,100000000,3,1399385636
stdsort,A,100000000,4,1395201212
stdsort,A,100000000,5,1396809812
stdsort,A,100000000,6,1398355588
stdsort,A,100000000,7,1398423248
stdsort,A,100000000,8,1397090418
stdsort,A,100000000,9,1397544782
qsort,A,100000000,0,4092335772
qsort,A,100000000,1,4092276002
qsort,A,100000000,2,4091644940
qsort,A,100000000,3,4092312548
qsort,A,100000000,4,4091902652
qsort,A,100000000,5,4092484524
qsort,A,100000000,6,4091802582
qsort,A,100000000,7,4092271424
qsort,A,100000000,8,4091873932
qsort,A,100000000,9,4091963522
alloc,D,100000000,0,4351816544
alloc,D,100000000,1,4349702176
alloc,D,100000000,2,4349907316
alloc,D,100000000,3,4348863118
alloc,D,100000000,4,4349854540
alloc,D,100000000,5,4349672864
alloc,D,100000000,6,4350669206
alloc,D,100000000,7,4350048874
alloc,D,100000000,8,4349727250
alloc,D,100000000,9,4350464554
shared,D,100000000,0,2881017008
shared,D,100000000,1,2882015286
shared,D,100000000,2,2875781356
shared,D,100000000,3,2883629866
shared,D,100000000,4,2878266892
shared,D,100000000,5,2879738050
shared,D,100000000,6,2881963128
shared,D,100000000,7,2878499924
shared,D,100000000,8,2879465088
shared,D,100000000,9,2881261280
stdsort,D,100000000,0,998270126
stdsort,D,100000000,1,998466596
stdsort,D,100000000,2,995971260
stdsort,D,100000000,3,995223878
stdsort,D,100000000,4,995623420
stdsort,D,100000000,5,998280344
stdsort,D,100000000,6,996159740
stdsort,D,100000000,7,994967626
stdsort,D,100000000,8,994699228
stdsort,D,100000000,9,994868890
qsort,D,100000000,0,5110568080
qsort,D,100000000,1,5106282568
qsort,D,100000000,2,5110459120
qsort,D,100000000,3,5107312796
qsort,D,100000000,4,5109768868
qsort,D,100000000,5,5104781596
qsort,D,100000000,6,5113079172
qsort,D,100000000,7,5106580422
qsort,D,100000000,8,5109655040
qsort,D,100000000,9,5107339104
alloc,E,100000000,0,4321073134
alloc,E,100000000,1,4320058046
alloc,E,100000000,2,4320299564
alloc,E,100000000,3,4319255268
alloc,E,100000000,4,4319925400
alloc,E,100000000,5,4319887840
alloc,E,100000000,6,4319652682
alloc,E,100000000,7,4319762610
alloc,E,100000000,8,4319283612
alloc,E,100000000,9,4319651248
shared,E,100000000,0,2859544640
shared,E,100000000,1,2860173540
shared,E,100000000,2,2855772352
shared,E,100000000,3,2860340758
shared,E,100000000,4,2855073258
shared,E,100000000,5,2855075046
shared,E,100000000,6,2857247874
shared,E,100000000,7,2854670136
